"lifetime(year), created by Plot Digitizer, 2.5.1"
"Date: 6/25/12, 10:21:36 AM"


28
year,lifetime
1996.68,1.09629e+32
1996.88,1.95377e+32
1997.19,2.97429e+32
1997.49,4.02312e+32
1997.69,5.02945e+32
1998.05,6.12452e+32
1998.66,7.96417e+32
1999.32,1.03564e+33
2000.08,1.24468e+33
2001.20,1.55602e+33
2002.68,1.55602e+33
2004.05,1.89481e+33
2005.37,2.21824e+33
2006.24,2.18929e+33
2007.61,2.56298e+33
2009.14,2.84690e+33
2010.71,3.20408e+33
2012.24,3.46676e+33
2014.07,3.80056e+33
2015.39,4.00554e+33
2017.22,4.33393e+33
2019.56,4.75123e+33
2021.75,5.07368e+33
2023.53,5.27756e+33
2025.66,5.56221e+33
2027.19,5.78572e+33
2028.66,6.01821e+33
2029.98,6.17838e+33
